periodic,arm,kind,disorder,seed,K,alpha,safety,levels,nx,dt,nt,Pe,r_mean,nu_mean,hmin_over_h,n_fallback,K_used_max,min_w,max_l1,rho,pow_nt,growth,errT,errmax,maxu,blowup,ref_floor,secs
1,minnorm,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000885,1.000000000000001,0.9999999999999967,0.9999999999999329,1.0000000000000062,0.0005181727836329753,0.0011881998926296655,1.2037379086631308,0,0.0,0.01165628433227539
1,projgauss,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000942,1.0000000000000002,0.9999999999999984,0.9999999999999744,1.0000000000000007,0.0005181727836471237,0.001188199892629943,1.203737908663133,0,0.0,0.012386083602905273
1,spectral,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000885,1.000000000000001,0.9999999999999967,0.9999999999999329,1.0000000000000062,0.0005181727836329753,0.0011881998926296655,1.2037379086631308,0,0.0,0.010899066925048828
1,spectralg,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000885,1.000000000000001,0.9999999999999967,0.9999999999999329,1.0000000000000062,0.0005181727836329753,0.0011881998926296655,1.2037379086631308,0,0.0,0.010779857635498047
1,molfe,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.9999999999999981,0.9999999999996156,1.0,0.0006745612275697865,0.001091130320640954,1.2039394651590227,0,0.0,0.010879993438720703
1,molrk3,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.9999999999999983,0.9999999999996849,1.0,0.0003043968373616854,0.0006970245261915808,1.2039209136467275,0,0.0,0.009873151779174805
1,maxent,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0979750000001003,1.0000000000000002,0.9999999999999974,1.0000000000001321,1.000000000001128,0.0005181727835943881,0.0011881998925565018,1.2037379086631463,0,0.0,0.022342205047607422
1,lp,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000953,1.0,1.0000000000000009,0.9999999999999618,1.0,0.0005181727836479702,0.0011881998926280835,1.2037379086631332,0,0.0,0.05287504196166992
1,lprand,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.09797500000000953,1.0,1.0000000000000009,0.9999999999999618,1.0,0.0005181727836479702,0.0011881998926280835,1.2037379086631332,0,0.0,0.05393576622009277
1,maxentw,jitter,0.0,0,3,0.1,0.9,1,100,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0979750000001003,1.0000000000000002,0.9999999999999974,1.0000000000001321,1.000000000001128,0.0005181727835943881,0.0011881998925565018,1.2037379086631463,0,0.0,0.02208995819091797
