periodic,arm,kind,disorder,seed,K,alpha,safety,levels,nx,dt,nt,Pe,r_mean,nu_mean,hmin_over_h,n_fallback,K_used_max,min_w,max_l1,rho,pow_nt,growth,errT,errmax,maxu,blowup,ref_floor,secs
0,minnorm,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.000000000000001,0.9984322856291716,0.6488409145469133,1.000000000000002,0.0004583083746664274,0.0005103447415983897,1.2737602711630365,0,7.341349750333848e-15,0.009404897689819336
0,projgauss,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0000000000000002,0.9984322856291683,0.6488409145469612,1.0000000000000007,0.0004583083746315664,0.0005103447416016094,1.2737602711630351,0,7.341349750333848e-15,0.010206937789916992
0,spectral,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.000000000000001,0.9984322856291716,0.6488409145469133,1.000000000000002,0.0004583083746664274,0.0005103447415983897,1.2737602711630365,0,7.341349750333848e-15,0.009830951690673828
0,spectralg,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.000000000000001,0.9984322856291716,0.6488409145469133,1.000000000000002,0.0004583083746664274,0.0005103447415983897,1.2737602711630365,0,7.341349750333848e-15,0.011030197143554688
0,molfe,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.9984307557908485,0.6497009889554408,1.0,0.0005707911622512274,0.0007536284474864985,1.27381505086785,0,7.341349750333848e-15,0.011091947555541992
0,molrk3,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.9984319864104922,0.6496634118373764,1.0,0.0002691002078506477,0.00029954319690062015,1.2737542684569583,0,7.341349750333848e-15,0.010012149810791016
0,maxent,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0000000000000002,0.9984322856291696,0.6488409145471016,1.0000000000000013,0.0004583083745111072,0.0005103447415392148,1.2737602711630378,0,7.341349750333848e-15,0.020369768142700195
0,lp,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.99843228562917,0.6488409145469501,1.0,0.00045830837464244656,0.0005103447416079376,1.2737602711630343,0,7.341349750333848e-15,0.052683115005493164
0,lprand,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0,0.99843228562917,0.6488409145469501,1.0,0.00045830837464244656,0.0005103447416079376,1.2737602711630343,0,7.341349750333848e-15,0.05157780647277832
0,maxentw,jitter,0.0,0,3,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,3,0.0,1.0000000000000002,0.9984322856291696,0.6488409145471016,1.0000000000000013,0.0004583083745111072,0.0005103447415392148,1.2737602711630378,0,7.341349750333848e-15,0.02080082893371582
0,minnorm,jitter,0.0,0,5,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,5,-0.017853571428574282,1.0357071428571483,0.9984323907536117,0.6495166814473705,1.035707142857148,0.0003956033539944115,0.0003956033539944115,1.2737474501067934,0,7.341349750333848e-15,0.010512113571166992
0,projgauss,jitter,0.0,0,5,0.1,0.9,1,101,0.00044999999999999077,1112,0.09999999999999999,0.4499999999999908,0.044999999999999075,0.9999999999999898,0,5,0.0,1.0000000000000002,0.9984321978451275,0.6491766621566792,1.0000000000000004,0.0001946964946804297,0.00028366512993389936,1.2737561715525185,0,7.341349750333848e-15,0.011727094650268555
