periodic,arm,kind,disorder,seed,K,alpha,safety,levels,nx,dt,nt,Pe,r_mean,nu_mean,hmin_over_h,n_fallback,K_used_max,min_w,max_l1,rho,pow_nt,growth,errT,errmax,maxu,blowup,ref_floor,secs,eps
1,molfilt,jitter,0.0,0,3,0.1,0.5,1,100,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,3,0.0,1.0,1.0,0.9999999999996807,1.0,0.00033101743866389977,0.0004729266828767953,1.2029794108608283,0,0.0,0.02030014991760254,0.0
1,molfilt,jitter,0.0,0,5,0.1,0.5,1,100,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,5,-0.0006810234187280368,1.0033681244792332,1.000000000000003,1.0000000000001061,1.0033681244792332,0.0007952900476817654,0.001710501933639974,1.2033162054597368,0,0.0,0.05843710899353027,0.008910586787095755
1,molfilt,jitter,0.0,0,7,0.1,0.5,1,100,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,7,-0.008163771483443305,1.0262290474798053,0.9999999999999992,0.9999999999999198,1.1227303043144805,0.001919104757757098,0.004485434936617572,1.2039667941779562,0,0.0,0.05763602256774902,0.006842360212122931
1,molfilt,jitter,0.1,0,3,0.1,0.5,1,100,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,3,0.0,1.0000000000000002,1.0000000000000009,0.9999999999997347,1.0000000000000007,0.0002305230721005025,0.0003249995846636988,1.2030499866642832,0,0.0,0.02031087875366211,0.0
1,molfilt,jitter,0.1,0,5,0.1,0.5,1,100,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,5,-0.007311262834351829,1.0158244105264214,0.9999999999999979,1.0000000000000122,1.0723660758693854,0.0009000431016921023,0.0019771758585595545,1.2034163373639148,0,0.0,0.05381298065185547,0.005254187450398248
1,molfilt,jitter,0.1,0,7,0.1,0.5,1,100,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,7,-0.010678883331446738,1.024842596609088,1.0000000000000004,1.0000000000000049,1.1736991959821212,0.0020055391490666832,0.004849284560586253,1.204017252108349,0,0.0,0.0550389289855957,0.004034643735214456
1,molfilt,jitter,0.1,1,3,0.1,0.5,1,100,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,3,0.0,1.0000000000000002,0.999999999999996,0.9999999999996845,1.0000000000000002,0.00023476107957556835,0.00032698071499642767,1.2042556098397272,0,0.0,0.021476030349731445,0.0
1,molfilt,jitter,0.1,1,5,0.1,0.5,1,100,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,5,-0.008594397630547023,1.0192461026037112,0.9999999999999998,1.0000000000000902,1.1931240859241152,0.0008541810183042148,0.0019635400391111446,1.204690921986057,0,0.0,0.05673789978027344,0.005254187450398248
1,molfilt,jitter,0.1,1,7,0.1,0.5,1,100,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,7,-0.008439824994145698,1.0246474869868023,0.9999999999999951,1.0029251687267124,1.4480286422936393,0.002020481060450996,0.004767222811557559,1.2051825327191716,0,0.0,0.05954289436340332,0.004034643735214456
1,molfilt,jitter,0.1,2,3,0.1,0.5,1,100,0.00017878235363346623,2797,0.09999999999999999,0.17878235363346623,0.017878235363346623,0.8456532472200795,0,3,0.0,1.0,0.9999999999999971,0.9999999999996574,1.0,0.00024129604463010712,0.00033308193120507035,1.2044692289142258,0,0.0,0.021168947219848633,0.0
