periodic,arm,kind,disorder,seed,K,alpha,safety,levels,nx,dt,nt,Pe,r_mean,nu_mean,hmin_over_h,n_fallback,K_used_max,min_w,max_l1,rho,pow_nt,growth,errT,errmax,maxu,blowup,ref_floor,secs,eps
0,molfilt,jitter,0.0,0,3,0.1,0.5,1,101,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,3,0.0,1.0,0.9991281976615844,0.6496169552283713,1.0,0.000434426529817622,0.000454297859489583,1.2735545527641237,0,5.39499001028787e-15,0.020294189453125,0.0
0,molfilt,jitter,0.0,0,5,0.1,0.5,1,101,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,5,-2.007067522321428,5.975770089285714,2.0347463953513323,nan,inf,inf,1936599326.380056,1936599326.3355887,1,5.39499001028787e-15,0.08829307556152344,inf
0,molfilt,jitter,0.0,0,7,0.1,0.5,1,101,0.00024999999999999486,2001,0.09999999999999999,0.24999999999999484,0.024999999999999484,0.9999999999999898,0,7,-1.93140345982143,5.884730747767859,1.8715505636881076,inf,inf,inf,95828204.48937772,95828204.4449106,1,5.39499001028787e-15,0.09448480606079102,inf
0,molfilt,jitter,0.1,0,3,0.1,0.5,1,101,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,3,0.0,1.0000000000000002,0.9994289186363786,0.649667346427304,1.0000000000000007,0.000382867098495443,0.000382867098495443,1.273582849772186,0,5.627442956068762e-15,0.021446943283081055,0.0
0,molfilt,jitter,0.1,0,5,0.1,0.5,1,101,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,5,-1.9654061579597752,5.822388221179602,2.003795785785509,nan,2.5076985975792688e+302,inf,128845892607659.42,128845892607659.38,1,5.627442956068762e-15,0.09532785415649414,inf
0,molfilt,jitter,0.1,0,7,0.1,0.5,1,101,0.00016376429299489037,3054,0.09999999999999999,0.16376429299489037,0.016376429299489036,0.8093560230081454,0,7,-1.9232831792697338,5.764783022971522,1.9160855305529856,nan,1.0164429546613583e+283,inf,6041666965538.577,6041666965538.531,1,5.627442956068762e-15,0.09707403182983398,inf
0,molfilt,jitter,0.1,1,3,0.1,0.5,1,101,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,3,0.0,1.0000000000000002,0.9994074065415596,0.6497053883307752,1.0000000000000002,0.00039267212340299285,0.00039267212340299285,1.2739450694071004,0,6.786238238021269e-15,0.023216962814331055,0.0
0,molfilt,jitter,0.1,1,5,0.1,0.5,1,101,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,5,-2.3066546488873327,6.569068271130018,1.9772808990967001,nan,5.018652450149355e+296,inf,124194340188305.25,124194340188305.2,1,6.786238238021269e-15,0.1005101203918457,inf
0,molfilt,jitter,0.1,1,7,0.1,0.5,1,101,0.00016993317484049846,2943,0.09999999999999999,0.16993317484049847,0.016993317484049846,0.8244590343746583,0,7,-2.257571120816158,6.48236446361138,1.8518906837849556,nan,1.771489369212002e+268,inf,2487862418878.89,2487862418878.845,1,6.786238238021269e-15,0.09757709503173828,inf
0,molfilt,jitter,0.1,2,3,0.1,0.5,1,101,0.00017878235363346623,2797,0.09999999999999999,0.17878235363346623,0.017878235363346623,0.8456532472200795,0,3,0.0,1.0,0.9993765478491249,0.6497662609944886,1.0,0.00039746179281041627,0.00039746179281041627,1.2740220562115485,0,6.966649479522857e-15,0.020449161529541016,0.0
